qid,question,answer
medquestions-500-0015,What are the symptoms of Oculo-cerebral dysplasia ?,"What are the signs and symptoms of Oculo-cerebral dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Oculo-cerebral dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia affecting the eye 90% Dandy-Walker malformation 90% Optic atrophy 90% Abnormality of the palpebral fissures 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0016,What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,"You have three treatment options to choose from to filter your blood. A fourth option offers care without replacing the work of the kidneys. None of these treatments helps the kidneys get better. However, they all can help you feel better.
                
- Hemodialysis uses a machine to move your blood through a filter outside your body, removing wastes.  - Peritoneal dialysis uses the lining of your belly to filter your blood inside your body, removing wastes.  - Kidney transplantation is surgery to place a healthy kidney from a person who has just died or a living person, usually a family member, into your body to take over the job of filtering your blood.  - Conservative management is the choice not to treat kidney failure with dialysis or a transplant. Instead, the focus is on using medicines to keep you comfortable, preserving kidney function through diet, and treating the problems of kidney failure, such as anemiaa shortage of red blood cells that can make you tiredand weak bones."
medquestions-500-0017,What are the symptoms of Frias syndrome ?,"What are the signs and symptoms of Frias syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Frias syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia affecting the eye 90% Atresia of the external auditory canal 90% Cognitive impairment 90% Cryptorchidism 90% Downturned corners of mouth 90% External ear malformation 90% High forehead 90% Muscular hypotonia 90% Optic atrophy 90% Scrotal hypoplasia 90% Short stature 90% Abnormality of calvarial morphology 50% Anterior hypopituitarism 50% Aplasia/Hypoplasia of the corpus callosum 50% Diabetes insipidus 50% Malar flattening 50% Underdeveloped nasal alae 50% Ventriculomegaly 50% Abnormality of the metacarpal bones 7.5% Brachydactyly syndrome 7.5% Clinodactyly of the 5th finger 7.5% Delayed skeletal maturation 7.5% Finger syndactyly 7.5% Hearing impairment 7.5% Prenatal movement abnormality 7.5% Primary adrenal insufficiency 7.5% Renal hypoplasia/aplasia 7.5% Short toe 7.5% Single transverse palmar crease 7.5% Toe syndactyly 7.5% Cupped ear - Hypertelorism - Posteriorly rotated ears - Proptosis - Ptosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0018,What is (are) Parenting ?,"If you're a parent, you get plenty of suggestions on how to raise your child. From experts to other parents, people are always ready to offer advice. Parenting tips, parents' survival guides, dos, don'ts, shoulds and shouldn'ts - new ones come out daily.    The truth is there is more than one ""right"" way to be a good parent. Good parenting includes       - Keeping your child safe    - Showing affection and listening to your child    - Providing order and consistency    - Setting and enforcing limits    - Spending time with your child    - Monitoring your child's friendships and activities    - Leading by example       NIH: National Institute of Child Health and Human Development"
medquestions-500-0019,How to diagnose Von Willebrand Disease ?,"Early diagnosis of von Willebrand disease (VWD) is important to make sure that you're treated and can live a normal, active life.
                
Sometimes VWD is hard to diagnose. People who have type 1 or type 2 VWD may not have major bleeding problems. Thus, they may not be diagnosed unless they have heavy bleeding after surgery or some other trauma.
                
On the other hand, type 3 VWD can cause major bleeding problems during infancy and childhood. So, children who have type 3 VWD usually are diagnosed during their first year of life.
                
To find out whether you have VWD, your doctor will review your medical history and the results from a physical exam and tests.
                
Medical History
                
Your doctor will likely ask questions about your medical history and your family's medical history. He or she may ask about:
                
Any bleeding from a small wound that lasted more than 15 minutes or started up again within the first 7 days following the injury.
                
Any prolonged, heavy, or repeated bleeding that required medical care after surgery or dental extractions.
                
Any bruising with little or no apparent trauma, especially if you could feel a lump under the bruise.
                
Any nosebleeds that occurred for no known reason and lasted more than 10 minutes despite pressure on the nose, or any nosebleeds that needed medical attention.
                
Any blood in your stools for no known reason.
                
Any heavy menstrual bleeding (for women). This bleeding usually involves clots or lasts longer than 7 to 10 days.
                
Any history of muscle or joint bleeding.
                
Any medicines you've taken that might cause bleeding or increase the risk of bleeding. Examples include aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs), clopidogrel, warfarin, or heparin.
                
Any history of liver or kidney disease, blood or bone marrow disease, or high or low blood platelet counts.
                
Physical Exam
                
Your doctor will do a physical exam to look for unusual bruising or other signs of recent bleeding. He or she also will look for signs of liver disease or anemia (a low red blood cell count).
                
Diagnostic Tests
                
No single test can diagnose VWD. Your doctor may recommend one or more blood tests to diagnose the disorder. These tests may include:
                
Von Willebrand factor antigen. This test measures the amount of von Willebrand factor in your blood.
                
Von Willebrand factor ristocetin (ris-to-SEE-tin) cofactor activity. This test shows how well your von Willebrand factor works.
                
Factor VIII clotting activity. This test checks the clotting activity of factor VIII. Some people who have VWD have low levels of factor VIII activity, while others have normal levels.
                
Von Willebrand factor multimers. This test is done if one or more of the first three tests are abnormal. It shows the structure of your von Willebrand factor. The test helps your doctor diagnose what type of VWD you have.
                
Platelet function test. This test measures how well your platelets are working.
                
You may have these tests more than once to confirm a diagnosis. Your doctor also may refer you to a hematologist to confirm the diagnosis and for followup care. A hematologist is a doctor who specializes in diagnosing and treating blood disorders."
medquestions-500-0020,Is DMD-associated dilated cardiomyopathy inherited ?,"DMD-associated dilated cardiomyopathy has an X-linked pattern of inheritance. The DMD gene is located on the X chromosome, which is one of the two sex chromosomes. In females (who have two X chromosomes), a mutation in one of the two copies of the gene in each cell usually leads to relatively mild heart disease that appears later in life. In males (who have only one X chromosome), a mutation in the only copy of the gene in each cell causes more severe signs and symptoms that occur earlier in life. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons."
medquestions-500-0021,What is (are) Antecubital pterygium ?,"Antecubital pterygium is characterized by and antecubital webbing, posterior subluxation (dislocation) of radial head, maldevelopment of radioulnar joint, and limited elbow extension with unimpeded elbow flexion. Most reported cases come from the island of Mauritius or nearby islands. It is inherited in an autosomal dominant fashion. This condition is sometimes found as a symptom of nail-patella syndrome."
medquestions-500-0022,What are the symptoms of Omenn syndrome ?,"What are the signs and symptoms of Omenn syndrome? Infants with Omenn syndrome typically present shortly after birth, usually by 3 months of age. This is similar to other types of severe combined immunodeficiency (SCID). The characteristic skin findings (red and peeling skin), chronic diarrhea, and failure to thrive often precede the onset of infections. Life-threatening infections caused by common viral, bacterial, and fungal pathogens occur next. Lymphadenopathy and hepatosplenomegaly, both symptoms unique to Omenn syndrome, develop next. The Human Phenotype Ontology provides the following list of signs and symptoms for Omenn syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Alopecia 90% Hepatomegaly 90% Lymphadenopathy 90% Malabsorption 90% Severe combined immunodeficiency 90% Abnormality of eosinophils 50% Abnormality of temperature regulation 50% Aplasia/Hypoplasia of the eyebrow 50% Dry skin 50% Edema 50% Leukocytosis 50% Pruritus 50% Splenomegaly 50% Thickened skin 50% Abnormality of the fingernails 7.5% Abnormality of the metaphyses 7.5% Anemia 7.5% Autoimmunity 7.5% Hypothyroidism 7.5% Lymphoma 7.5% Nephrotic syndrome 7.5% Sepsis 7.5% Thyroiditis 7.5% Autosomal recessive inheritance - B lymphocytopenia - Diarrhea - Eosinophilia - Erythroderma - Failure to thrive - Hypoplasia of the thymus - Hypoproteinemia - Pneumonia - Recurrent bacterial infections - Recurrent fungal infections - Recurrent viral infections - Severe B lymphocytopenia - Thrombocytopenia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0023,What is (are) Prothrombin thrombophilia ?,"Prothrombin thrombophilia is an inherited disorder of blood clotting. Thrombophilia is an increased tendency to form abnormal blood clots in blood vessels. People who have prothrombin thrombophilia are at somewhat higher than average risk for a type of clot called a deep venous thrombosis, which typically occur in the deep veins of the legs. Affected people also have an increased risk of developing a pulmonary embolism. However, most people with prothrombin thrombophilia never develop abnormal blood clots. Prothrombin thrombophilia is the second most common inherited form of thrombophilia after factor V Leiden thrombophilia. It is more common in Caucasian populations. This condition is caused by a particular mutation (written G20210A or 20210G>A) in the F2 gene. People can inherit one or two copies of the gene mutation from their parents."
medquestions-500-0024,How many people are affected by severe congenital neutropenia ?,"The incidence of severe congenital neutropenia is estimated to be 1 in 200,000 individuals."
medquestions-500-0025,What is (are) choroideremia ?,"Choroideremia is a condition characterized by progressive vision loss that mainly affects males. The first symptom of this condition is usually an impairment of night vision (night blindness), which can occur in early childhood. A progressive narrowing of the field of vision (tunnel vision) follows, as well as a decrease in the ability to see details (visual acuity). These vision problems are due to an ongoing loss of cells (atrophy) in the specialized light-sensitive tissue that lines the back of the eye (retina) and a nearby network of blood vessels (the choroid). The vision impairment in choroideremia worsens over time, but the progression varies among affected individuals. However, all individuals with this condition will develop blindness, most commonly in late adulthood."
medquestions-500-0026,What are the symptoms of Rheumatoid nodulosis ?,"What are the signs and symptoms of Rheumatoid nodulosis? The Human Phenotype Ontology provides the following list of signs and symptoms for Rheumatoid nodulosis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Subcutaneous nodule - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0027,Who is at risk for Cataract? ?,"There are several things you can do to lower your risk for cataract. They include - having regular eye exams  - quitting smoking  - wearing sunglasses  - taking care of other health problems  - maintaining a healthy weight  - choosing a healthy diet. having regular eye exams quitting smoking wearing sunglasses taking care of other health problems maintaining a healthy weight choosing a healthy diet. Get Regular Eye Exams Be sure to have regular comprehensive eye exams. If you are age 60 or older, you should have a comprehensive dilated eye exam at least once a year. Eye exams can help detect cataracts and other age-related eye problems at their earliest stages. In addition to cataract, your eye care professional can check for signs of age-related macular degeneration, glaucoma, and other vision disorders. For many eye diseases, early treatment may save your sight. For more on comprehensive eye exams, see the chapter on Symptoms and Detection. Quit Smoking Ask your doctor for help to stop smoking. Medications, counseling and other strategies are available to help you. Wear Sunglasses Ultraviolet light from the sun may contribute to the development of cataracts. Wear sunglasses that block ultraviolet B (UVB) rays when you're outdoors. Take Care of Other Health Problems Follow your treatment plan if you have diabetes or other medical conditions that can increase your risk of cataracts. Maintain a Healthy Weight If your current weight is a healthy one, work to maintain it by exercising most days of the week. If you're overweight or obese, work to lose weight slowly by reducing your calorie intake and increasing the amount of exercise you get each day. Choose a Healthy Diet Choose a healthy diet that includes plenty of fruits and vegetables. Adding a variety of colorful fruits and vegetables to your diet ensures that you're getting a lot of vitamins and nutrients. Fruits and vegetables are full of antioxidants, which in theory could prevent damage to your eye's lens. Studies haven't proven that antioxidants in pill form can prevent cataracts. But fruits and vegetables have many proven health benefits and are a safe way to increase the amount of vitamins in your diet. Choose a Healthy Diet Choose a healthy diet that includes plenty of fruits and vegetables. Adding a variety of colorful fruits and vegetables to your diet ensures that you're getting a lot of vitamins and nutrients. Fruits and vegetables are full of antioxidants, which in theory could prevent damage to your eye's lens. Studies haven't proven that antioxidants in pill form can prevent cataracts. But fruits and vegetables have many proven health benefits and are a safe way to increase the amount of vitamins in your diet."
medquestions-500-0028,What are the genetic changes related to galactosialidosis ?,"Mutations in the CTSA gene cause all forms of galactosialidosis. The CTSA gene provides instructions for making a protein called cathepsin A, which is active in cellular compartments called lysosomes. These compartments contain enzymes that digest and recycle materials when they are no longer needed. Cathepsin A works together with two enzymes, neuraminidase 1 and beta-galactosidase, to form a protein complex. This complex breaks down sugar molecules (oligosaccharides) attached to certain proteins (glycoproteins) or fats (glycolipids). Cathepsin A is also found on the cell surface, where it forms a complex with neuraminidase 1 and a protein called elastin binding protein. Elastin binding protein plays a role in the formation of elastic fibers, a component of the connective tissues that form the body's supportive framework.  CTSA mutations interfere with the normal function of cathepsin A. Most mutations disrupt the protein structure of cathepsin A, impairing its ability to form complexes with neuraminidase 1, beta-galactosidase, and elastin binding protein. As a result, these other enzymes are not functional, or they break down prematurely.  Galactosialidosis belongs to a large family of lysosomal storage disorders, each caused by the deficiency of a specific lysosomal enzyme or protein. In galactosialidosis, impaired functioning of cathepsin A and other enzymes causes certain substances to accumulate in the lysosomes."
medquestions-500-0029,"How to prevent Diabetes, Heart Disease, and Stroke ?","Even if you are at high risk for heart disease and stroke, you can help keep your heart and blood vessels healthy. You can do so by taking the following steps:
                
- Make sure that your diet is ""heart-healthy."" Meet with a registered dietitian to plan a diet that meets these goals:      - Include at least 14 grams of fiber daily for every 1,000 calories consumed. Foods high in fiber may help lower blood cholesterol. Oat bran, oatmeal, whole-grain breads and cereals, dried beans and peas (such as kidney beans, pinto beans, and black-eyed peas), fruits, and vegetables are all good sources of fiber. Increase the amount of fiber in your diet gradually to avoid digestive problems.    - Cut down on saturated fat. It raises your blood cholesterol level. Saturated fat is found in meats, poultry skin, butter, dairy products with fat, shortening, lard, and tropical oils such as palm and coconut oil. Your dietitian can figure out how many grams of saturated fat should be your daily maximum amount.    - Keep the cholesterol in your diet to less than 300 milligrams a day. Cholesterol is found in meat, dairy products, and eggs.    - Keep the amount of trans fat in your diet to a minimum. It's a type of fat in foods that raises blood cholesterol. Limit your intake of crackers, cookies, snack foods, commercially prepared baked goods, cake mixes, microwave popcorn, fried foods, salad dressings, and other foods made with partially hydrogenated oil. In addition, some kinds of vegetable shortening and margarines have trans fat. Check for trans fat in the Nutrition Facts section on the food package.    - If you smoke, quit. Your doctor can help you find ways to quit smoking.  - Ask your doctor whether you should take aspirin. Studies have shown that taking a low dose of aspirin every day can help reduce the risk of heart disease and stroke. However, aspirin is not safe for everyone. Your doctor can tell you whether taking aspirin is right for you and exactly how much to take.  - Get prompt treatment for transient ischemic attacks (TIAs). Early treatment for TIAs, sometimes called mini-strokes, may help prevent or delay a future stroke. Signs of a TIA are sudden weakness, loss of balance, numbness, confusion, blindness in one or both eyes, double vision, difficulty speaking, or a severe headache."
